Brand,Model,Year,engine model,Engine,Max Power,Seats
Ford,Mustang GT,2016,435.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Rolls-Royce,Wraith Base,2016,624.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 1SS,2022,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X5 xDrive35i,2016,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Nissan,Maxima SV,2014,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra TRD Pro,2016,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,,,
INFINITI,QX60 AUTOGRAPH,2022,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mitsubishi,Lancer Evolution MR,2006,286.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,X3 xDrive30i,2021,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra SR5,2016,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Lincoln,Mark LT Base,2006,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Flex SEL,2011,262.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 2.0T Premium Plus,2015,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,,,
Ford,F-150 XL,2021,3.5L V6 24V PDI DOHC Twin Turbo,,,
Lincoln,Continental Reserve,2017,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X 75D,2017,518.0HP Electric Motor Electric Fuel System,,,
Jeep,Grand Cherokee Limited,2017,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Terrain SLT-1,2013,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Long Range,2022,670.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,AMG E 53 Base 4MATIC,2021,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Subaru,Impreza WRX Base,2013,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Optima S,2018,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,M-Class ML 350,2011,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Beetle 2.0T S,2018,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Acura,RSX Base,2005,160.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
GMC,Acadia SLE,2020,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 Lariat,2020,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Gladiator Overland,2020,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Tacoma TRD Sport,2020,3.5 Liter,,,
Kia,EV6 GT-Line,2022,320.0HP Electric Motor Electric Fuel System,,,
Genesis,GV70 3.5T Sport,2022,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Explorer ST,2022,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
MINI,Countryman Cooper,2020,1.5L I3 12V GDI DOHC Turbo,,,
Mazda,CX-5 Grand Touring,2021,2.5L I4 16V GDI DOHC,,,
BMW,325 i,2003,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,,,
Toyota,Yaris L,2012,106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Express 1500 Base,2010,310.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Lincoln,Navigator L Select,2016,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Sahara Altitude,2023,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Bentley,Continental GT Base,2007,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 350 F Sport,2018,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,430 i,2017,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Sport Platinum,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Honda,Civic EX,2008,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayenne AWD,2020,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang Mach-E GT,2022,480.0HP Electric Motor Electric Fuel System,,,
Cadillac,ATS 2.5L Luxury,2013,202.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,LS 460 Base,2014,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Premium Luxury,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Hyundai,Veloster Base,2013,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Base,2002,350.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC,2019,2.0L I4 16V GDI DOHC Turbo,,,
Kia,Stinger GT,2018,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
Volvo,S60 R,2004,300.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 2500 LT,2015,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,,,
Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 1500 SLE,2015,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 RST,2020,5.3L V8 16V GDI OHV,,,
Porsche,911 Turbo S,2019,580.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban Z71,2022,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,G-Class G 550 4MATIC,2019,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera,2023,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport HSE,2011,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 Lariat,2016,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,,,
Subaru,BRZ Limited,2022,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,LS 460 Base,2008,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport HSE,2013,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Sport Platinum,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Pathfinder S,2020,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
MINI,Cooper S Base,2006,168.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Acura,ILX 2.0L w/Premium Package,2013,150.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 350 Base,2021,3.5L V6 24V PDI DOHC,,,
Porsche,911 Carrera S,2013,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
MINI,Hardtop Cooper S,2022,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 Platinum,2018,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,i3 Base,2015,170.0HP 0.65L Electric Motor Electric Fuel System,,,
Mazda,CX-5 Touring,2018,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 350 F Sport Performance,2020,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X5 M50i,2023,4.4L V8 32V GDI DOHC Twin Turbo,,,
Mercedes-Benz,E-Class E 300,2019,2.0 Liter Turbo,,,
Porsche,911 Carrera Cabriolet,2006,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Ford,F-350 Lariat,2015,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,,,
BMW,X3 xDrive30i,2019,2.0L I4 16V GDI DOHC Turbo,,,
RAM,1500 SLT,2017,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Tacoma Base,2009,159.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,SRX Performance Collection,2011,265.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang GT Premium,2010,315.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 2500 Laramie Quad Cab,2004,250.0HP 5.9L Straight 6 Cylinder Engine Diesel Fuel,,,
BMW,650 i,2006,360.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Impreza WRX,2012,265.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Edge Titanium,2017,245.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Telluride SX,2021,3.8L V6 24V GDI DOHC,,,
Tesla,Model S Long Range,2022,670.0HP Electric Motor Electric Fuel System,,,
RAM,1500 Rebel,2018,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Explorer XLT,2017,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG GLE 43 4MATIC Coupe,2019,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 2.0T Premium Plus,2016,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,,,
Nissan,Armada Platinum,2018,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,SL-Class SL500 Roadster,2003,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Bentley,Bentayga V8,2021,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Gladiator Overland,2021,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M2 CS,2020,444.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Dodge,Charger SE,2017,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKX Black Label,2017,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra SR5,2015,5.7L V8 32V MPFI DOHC,,,
BMW,335 i,2008,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
BMW,X1 xDrive28i,2019,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,F-350 Platinum,2022,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,,,
Mercedes-Benz,Sprinter High Roof,2015,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Dodge,Challenger GT,2021,303.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Audi,S4 3.0 Prestige,2012,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Tacoma TRD Sport,2018,3.5 Liter,,,
Mercedes-Benz,Sprinter 2500 Standard Roof,2021,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
INFINITI,Q50 3.0t Red Sport 400,2018,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera 4S,2002,320.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition Max Limited,2021,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Stingray w/3LT,2023,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300,2019,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Cherokee Limited,2005,325.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Charger SRT Hellcat,2020,707.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC,2018,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera S,2020,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 GT3,2022,502.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,,,
Cadillac,DTS Luxury,2007,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Maserati,Grecale Modena,2023,2.0L I4 16V GDI DOHC Turbo,,,
Mercedes-Benz,S-Class S 550,2016,449.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Malibu 1LT,2017,160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,,,
Nissan,Quest SL,2011,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,SLK-Class SLK 250,2015,201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 2500 Denali,2024,401.0HP 6.6L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 350 Base,2016,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Stingray w/3LT,2020,6.2L V8 16V GDI OHV,,,
BMW,330 i,2019,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLC 300 Base,2020,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Tesla,Model S 75D,2016,518.0HP Electric Motor Electric Fuel System,,,
Chevrolet,Corvette Stingray w/2LT,2022,6.2L V8 16V GDI OHV,,,
Jaguar,XF 25t Prestige,2018,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 XLT,2021,2.7L V6 24V PDI DOHC Twin Turbo,,,
Ford,Bronco Outer Banks,2023,275.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Scion,FR-S Monogram,2014,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC,2020,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Tahoe Premier,2019,5.3L V8 16V GDI OHV,,,
BMW,M3 Base,2002,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 Lariat,2016,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,,,
BMW,i3 Base w/Range Extender,2014,170.0HP 0.65L Electric Motor Electric Fuel System,,,
INFINITI,G37 Journey,2013,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition XLT,2007,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X3 sDrive30i,2021,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Aston,Martin Vantage GT Base,2015,430.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Tahoe LT,2009,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Ford,Transit-250 Base,2020,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,ES 250 Base,2021,2.5 Liter,,,
RAM,1500 Rebel,2020,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Ford,Maverick XL,2023,191.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
BMW,Z3 3.0i Roadster,2001,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 1SS,2022,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Stingray w/3LT,2023,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Pontiac,Solstice GXP,2007,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,XTS Luxury,2017,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Highlander Limited,2011,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Lincoln,Navigator Reserve,2020,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Highlander Hybrid Limited Platinum,2019,306.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,,,
Audi,A3 2.0T Tech Premium,2018,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler SE,2003,150.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Tacoma SR,2022,278.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Trailblazer SS,2007,395.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Audi,A5 2.0T Premium Plus,2019,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,A6 55 Premium,2020,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Mercedes-Benz,Sprinter 2500,2016,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Porsche,911 Carrera,2005,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Stingray w/2LT,2022,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Acadia SLE,2021,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera,2020,379.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Base,2007,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang GT Premium,2018,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Edge SEL,2021,2.0L I4 16V GDI DOHC Turbo,,,
Cadillac,Escalade Luxury,2012,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,,,
Chevrolet,Corvette Stingray w/3LT,2022,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Corolla LE,2016,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Express 2500 Work Van,2017,285.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Trax LS,2020,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Golf Auto TSI S,2015,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Nissan,Pathfinder Silver,2012,266.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 Platinum,2018,395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,,,
Land,Rover Range Rover Velar P380 SE R-Dynamic,2019,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Kia,Sportage LX,2010,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,LS 460 Base,2012,380.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
MINI,Cooper S Base,2012,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Bentley,Bentayga Activity Edition,2018,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Volvo,XC60 T6 Inscription,2019,330.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Explorer Limited,2018,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayenne Turbo GT,2022,4.0L,,,
Mercedes-Benz,G-Class G 550 4MATIC,2016,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Unlimited Rubicon 392,2021,470.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Avalon Hybrid XLE Premium,2015,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Nissan,Juke SL,2012,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera 4,2013,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
MINI,Cooper S Base,2012,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Subaru,Ascent Touring 7-Passenger,2019,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Subaru,WRX STI Base,2017,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport HSE,2019,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Kia,Sorento Plug-In Hybrid SX Prestige,2022,261.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,,,
Chevrolet,Corvette Stingray w/2LT,2022,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Performance,2020,455.0HP Electric Motor Electric Fuel System,,,
Nissan,Armada SV,2017,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayenne Turbo S,2014,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Outback Touring XT,2021,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Acura,RLX Advance Package,2016,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang GT,2001,260.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
BMW,330 i xDrive,2017,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,SL-Class SL550 Roadster,2009,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Audi,SQ8 4.0T Premium Plus,2021,500.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
MINI,Cooper S Base,2007,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang EcoBoost,2021,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Audi,RS 7 4.0T Prestige,2016,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLC 300 GLC 300,2022,2.0 Liter Turbo,,,
Volkswagen,Touareg TDI Lux,2015,240.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Porsche,Cayenne GTS,2016,440.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Wagoneer Series III,2022,471.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X 100D,2018,518.0HP Electric Motor Electric Fuel System,,,
MINI,Cooper S Base,2011,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
RAM,1500 Laramie,2022,5.7L V8 16V MPFI OHV,,,
Chevrolet,Camaro Base,2001,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Cherokee X,2022,3.2L V6 24V MPFI DOHC,,,
BMW,ALPINA B7 xDrive,2013,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Volvo,XC90 3.2 Premier Plus,2013,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
INFINITI,Q50 3.0T Premium,2016,300.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
MINI,Cooper Base,2009,118.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera 4S,2014,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Wagoneer Base,2023,6.4L V8 16V MPFI OHV,,,
Lexus,RX 350 Base,2021,3.5L V6 24V PDI DOHC,,,
RAM,1500 Laramie,2022,5.7L V8 16V MPFI OHV,,,
Jeep,Gladiator Overland,2020,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Fusion Hybrid Base,2011,156.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Audi,A6 2.0T Premium Plus,2016,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 Z71 Extended Cab,2004,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Taycan Base,2021,375.0HP Electric Motor Electric Fuel System,,,
Honda,Accord Hybrid Touring,2017,212.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,,,
RAM,2500 SLT,2018,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport Supercharged,2015,550.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,,,
Chevrolet,Colorado ZR2,2018,308.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 2500 Denali,2017,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,,,
Subaru,Crosstrek 2.0i Limited,2018,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Subaru,Outback 2.5i Limited,2014,2.5L H4 16V MPFI DOHC,,,
Tesla,Model X Plaid,2022,1020.0HP Electric Motor Electric Fuel System,,,
Jeep,Wrangler Unlimited Rubicon,2012,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model S 100D,2018,518.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,C-Class C 300 4MATIC,2021,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera S,2013,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLS 450 Base 4MATIC,2019,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Buick,Envision Preferred,2021,2.0L I4 16V GDI DOHC Turbo,,,
Nissan,Armada Platinum,2022,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Turbo,2021,572.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Stingray w/2LT,2021,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang Shelby GT500,2013,650.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 XL,2018,395.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,,,
Porsche,Cayenne Turbo,2004,450.0HP 4.5L 8 Cylinder Engine Gasoline Fuel,,,
Mitsubishi,Eclipse Spyder GT,2008,260.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,GX 470 Base,2007,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Dakota Big Horn/Lone Star,2010,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Sport,2012,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Subaru,Outback Limited,2020,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Unlimited Rubicon,2013,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Subaru,Ascent Touring 7-Passenger,2021,2.4L H4 16V GDI DOHC Turbo,,,
Ford,F-350 XL,2017,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,,,
Porsche,Cayenne Turbo S,2014,550.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X1 xDrive28i,2020,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,4Runner Limited,2014,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon Denali,2019,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,C-HR LE,2020,2.0L I4 16V MPFI DOHC,,,
Subaru,Outback Limited XT,2020,2.4L H4 16V GDI DOHC Turbo,,,
Chevrolet,Silverado 1500 LT Trail Boss,2020,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X5 xDrive50i,2013,400.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Audi,A6 55 Prestige,2021,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
